"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"286",286,"00:47:42:25","00:47:52:25","Shot",286,11,"Pacific",32,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",3,3,5,0,5.5,0.397040162,5.636889695,5.5,0,"Goal"
"287",287,"00:47:52:45","00:48:02:45","Shot",287,11,"Michigan",36,"Location 4","Perimeter","Normal","Right","Miss","Contested",1,4,4,-1,6.5,-1.407267515,6.654636098,6.576473219,-0.152649328,"Not Goal"
"288",288,"00:48:02:65","00:48:12:65","Shot",288,11,"Pacific",13,"Location 4","Quick","Normal","Right","Goal","Uncontested",5,1,5,2,2.5,1.784138403,2.27120708,3.201562119,0.674740942,"Goal"
"289",289,"00:48:12:85","00:48:22:85","Shot",289,11,"Michigan",33,"Location 4","Perimeter","Normal","Right","Save","Contested",2,4,11,-1,5.5,-1.205600625,5.560641872,5.590169944,-0.1798535,"Not Goal"
"290",290,"00:48:23:05","00:48:33:05","Shot",290,11,"Michigan",57,"Off Target","Perimeter","Normal","Right","Field Block","Field Blocker",1,3,4,-2,4.5,-1.796037773,4.02067014,4.924428901,-0.41822433,"Not Goal"
"291",291,"00:48:33:25","00:48:43:25","Shot",291,11,"Pacific",42,"Location 2","Perimeter","Normal","Left","Miss","Field Blocker",1,4,8,-3,5.5,-3.326405688,5.711630162,6.264982043,-0.499346722,"Not Goal"
"292",292,"00:48:43:46","00:48:53:46","Shot",292,11,"Michigan",63,"Location 4","6 on 5","Normal","Right","Miss","Contested",1,2,10,-1,2.5,-1.436092946,2.127199452,2.692582404,-0.380506377,"Not Goal"
"293",293,"00:48:53:66","00:49:03:66","Shot",293,11,"Pacific",57,"Location 5","6 on 4","Skip","Left","Goal","Blocker at Distance",4,2,8,-2,4.5,-2.204075107,4.138475965,4.924428901,-0.41822433,"Goal"
"294",294,"00:49:03:86","00:49:13:86","Shot",294,11,"Pacific",57,"Location 4","Transition","Normal","Right","Save","Field Blocker",2,4,10,-2,4.5,-1.819688304,4.431524217,4.924428901,-0.41822433,"Not Goal"
"295",295,"00:49:14:06","00:49:24:06","Shot",295,11,"Michigan",23,"Location 1","Perimeter","Normal","Right","Miss","Field Blocker",1,4,12,2,5.5,2.459986957,5.93670926,5.852349955,0.348771004,"Not Goal"
"296",296,"00:49:24:26","00:49:34:26","Shot",296,11,"Pacific",33,"Location 1","Transition","Skip","Right","Miss","Field Blocker",1,3,10,-1,5.5,-1.064839586,5.915546707,5.590169944,-0.1798535,"Not Goal"
"297",297,"00:49:34:46","00:49:44:46","Shot",297,11,"Michigan",26,"Location 2","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,12,2,6.5,1.771103889,6.674259344,6.800735254,0.298498932,"Not Goal"
"298",298,"00:49:44:66","00:49:54:66","Shot",298,11,"Pacific",7,"Location 1","Individual","Normal","Left","Goal","Pressured",4,2,8,-2,1,-2.098554675,0.585590341,2.236067977,-1.107148718,"Goal"
"299",299,"00:49:54:86","00:50:04:86","Shot",299,11,"Pacific",23,"Location 2","Perimeter","Normal","Right","Save","Contested",2,4,5,2,5.5,2.444846335,5.62223938,5.852349955,0.348771004,"Not Goal"
"300",300,"00:50:05:06","00:50:15:06","Shot",300,11,"Pacific",54,"Location 3","Perimeter","Normal","Right","Goal","Field Blocker",4,3,10,-2,3.5,-1.633657695,3.848263257,4.031128874,-0.519146114,"Goal"
"301",301,"00:50:15:26","00:50:25:26","Shot",301,11,"Michigan",13,"Location 1","Drive","Skip","Right","Miss","Pressured",1,2,3,2,2.5,2.240003305,2.579958526,3.201562119,0.674740942,"Not Goal"
"302",302,"00:50:25:46","00:50:35:46","Shot",302,11,"Michigan",54,"Location 4","Perimeter","Normal","Left","Goal","Contested",3,3,18,-2,3.5,-1.902284055,3.329300602,4.031128874,-0.519146114,"Goal"
"303",303,"00:50:35:66","00:50:45:66","Shot",303,11,"Pacific",35,"Location 2","Perimeter","Normal","Right","Goal","Field Blocker",2,4,5,0,6.5,0.323604112,6.986745022,6.5,0,"Goal"
"304",304,"00:50:45:87","00:50:55:87","Shot",304,11,"Michigan",32,"Location 2","Penalty","Skip","Right","Goal","Other",5,1,3,0,5.5,-0.017858279,5.130640212,5.5,0,"Goal"
"305",305,"00:50:56:07","00:51:06:07","Shot",305,11,"Pacific",23,"Location 2","Perimeter","Normal","Right","Goal","Contested",3,4,7,2,5.5,1.562325053,5.630702215,5.852349955,0.348771004,"Goal"
"306",306,"00:51:06:27","00:51:16:27","Shot",306,11,"Michigan",33,"Location 2","Perimeter","Normal","Right","Field Block","Contested",1,4,4,-1,5.5,-1.462956002,5.766915795,5.590169944,-0.1798535,"Not Goal"
"307",307,"00:51:16:47","00:51:26:47","Shot",307,11,"Pacific",68,"Location 5","Transition","Skip","Right","Goal","Contested",3,3,7,0,4.5,0.465279179,4.475636777,4.5,0,"Goal"
"308",308,"00:51:26:67","00:51:36:67","Shot",308,11,"Michigan",12,"Location 2","Perimeter","Normal","Right","Save","Field Blocker",3,3,3,3,2.5,2.620921904,2.66097696,3.905124838,0.876058051,"Not Goal"
"309",309,"00:51:36:87","00:51:46:87","Shot",309,11,"Pacific",22,"Location 4","Perimeter","Normal","Right","New Clock","Field Blocker",2,4,5,3,5.5,3.114589483,5.350476173,6.264982043,0.499346722,"Not Goal"
"310",310,"00:51:47:07","00:51:57:07","Shot",310,11,"Pacific",36,"Location 4","Perimeter","Normal","Right","New Clock","Field Blocker",2,4,10,-1,6.5,-0.510829054,6.14152372,6.576473219,-0.152649328,"Not Goal"
"311",311,"00:51:57:27","00:52:07:27","Shot",311,11,"Pacific",19,"Location 2","Perimeter","Normal","Right","Field Block","Contested",1,4,7,2,4.5,2.273223411,4.975018444,4.924428901,0.41822433,"Not Goal"
"312",312,"00:52:07:47","00:52:17:47","Shot",312,11,"Pacific",55,"Location 2","Individual","Lob","Left","Miss","Pressured",1,5,8,-3,3.5,-3.323365591,3.190023062,4.609772229,-0.708626272,"Not Goal"
"313",313,"00:52:17:67","00:52:27:67","Shot",313,11,"Pacific",32,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",1,4,10,0,5.5,-0.257206782,5.66505742,5.5,0,"Not Goal"
"314",314,"00:52:27:87","00:52:37:87","Shot",314,11,"Michigan",32,"Location 1","Penalty","Skip","Left","Miss","Other",1,1,18,0,5.5,0.023793458,5.961176002,5.5,0,"Not Goal"
"315",315,"00:52:38:07","00:52:48:07","Shot",315,11,"Michigan",65,"Location 2","Transition","Lob","Right","Save","Contested",3,2,12,0,3.5,0.124596541,3.907471155,3.5,0,"Not Goal"
"316",316,"00:52:48:27","00:52:58:27","Shot",316,11,"Pacific",41,"Location 5","Perimeter","Normal","Right","Field Block","Contested",1,4,8,-2,5.5,-2.202799865,5.01881504,5.852349955,-0.348771004,"Not Goal"
"317",317,"00:52:58:48","00:53:08:48","Shot",317,11,"Michigan",12,"Location 2","Transition","Normal","Right","Save","Pressured",3,3,12,3,2.5,2.89918575,2.002402883,3.905124838,0.876058051,"Not Goal"
"318",318,"00:53:08:68","00:53:18:68","Shot",318,11,"Pacific",54,"Location 2","6 on 5","Normal","Left","Goal","Field Blocker",3,3,8,-2,3.5,-1.773106024,3.406657784,4.031128874,-0.519146114,"Goal"
"319",319,"00:53:18:88","00:53:28:88","Shot",319,11,"Michigan",32,"Location 5","Perimeter","Lob","Right","Goal","Field Blocker",2,4,8,0,5.5,-0.250751457,5.991679446,5.5,0,"Goal"
"320",320,"00:53:29:08","00:53:39:08","Shot",320,11,"Pacific",63,"Location 5","Center","Normal","Right","Goal","Contested",4,2,2,-1,2.5,-1.485313706,2.426359936,2.692582404,-0.380506377,"Goal"
"321",321,"00:53:39:28","00:53:49:28","Shot",321,11,"Michigan",23,"Location 2","Perimeter","Normal","Right","Miss","Contested",1,4,15,2,5.5,2.411659198,5.991447575,5.852349955,0.348771004,"Not Goal"
"322",322,"00:53:49:48","00:53:59:48","Shot",322,11,"Pacific",63,"Location 5","Center","Backhand","Right","Miss","Contested",1,3,13,-1,2.5,-0.99524918,2.011972871,2.692582404,-0.380506377,"Not Goal"
"323",323,"00:53:59:68","00:54:09:68","Shot",323,11,"Michigan",41,"Location 2","Perimeter","Normal","Right","Save","Field Blocker",2,4,2,-2,5.5,-1.648738455,5.893190796,5.852349955,-0.348771004,"Not Goal"
"324",324,"00:54:09:88","00:54:19:88","Shot",324,11,"Michigan",61,"Location 2","Center","Normal","Right","Goal","Contested",3,3,17,1,2.5,1.396620453,2.565726225,2.692582404,0.380506377,"Goal"
"325",325,"00:54:20:08","00:54:30:08","Shot",325,11,"Michigan",57,"Location 4","6 on 5","Normal","Left","Goal","Field Blocker",3,3,20,-2,4.5,-2.395544772,4.931294943,4.924428901,-0.41822433,"Goal"
"326",326,"00:54:30:29","00:54:40:29","Shot",326,11,"Pacific",57,"Location 2","Individual","Normal","Left","Save","Pressured",3,3,8,-2,4.5,-1.636662658,4.965806575,4.924428901,-0.41822433,"Not Goal"
"327",327,"00:54:40:49","00:54:50:49","Shot",327,11,"Michigan",18,"Location 4","Perimeter","Lob","Right","Goal","Field Blocker",4,4,15,3,4.5,2.729697364,4.01528247,5.408326913,0.588002604,"Goal"
"328",328,"00:54:50:69","00:55:00:69","Shot",328,11,"Michigan",52,"Location 5","Perimeter","Normal","Left","Save","Pressured",3,3,20,-3,2.5,-2.757942441,2.166158744,3.905124838,-0.876058051,"Not Goal"
"329",329,"00:55:00:89","00:55:10:89","Shot",329,11,"Pacific",61,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",4,2,3,1,2.5,1.479602617,2.493622903,2.692582404,0.380506377,"Goal"
"330",330,"00:55:11:09","00:55:21:09","Shot",330,11,"Pacific",68,"Location 3","Center","Backhand","Right","Save","Contested",3,3,2,0,4.5,0.237428547,4.094630619,4.5,0,"Not Goal"
"331",331,"00:55:21:29","00:55:31:29","Shot",331,11,"Michigan",51,"Location 2","Perimeter","Lob","Left","Goal","Field Blocker",4,3,18,-2,2.5,-2.313935283,2.419471466,3.201562119,-0.674740942,"Goal"
"332",332,"00:55:31:49","00:55:41:49","Shot",332,11,"Pacific",3,"Location 3","6 on 5","Normal","Right","Save","Contested",4,2,15,2,1,1.824357882,1.469067239,2.236067977,1.107148718,"Not Goal"
"333",333,"00:55:41:69","00:55:51:69","Shot",333,11,"Pacific",41,"Location 4","Perimeter","Normal","Right","Goal","Field Blocker",3,4,10,-2,5.5,-1.983515097,5.627015959,5.852349955,-0.348771004,"Goal"
"334",334,"00:55:51:89","00:56:01:89","Shot",334,11,"Michigan",23,"Location 2","6 on 5","Normal","Right","Field Block","Field Blocker",1,4,15,2,5.5,2.041797348,5.779273574,5.852349955,0.348771004,"Not Goal"
"335",335,"00:56:02:09","00:56:12:09","Shot",335,11,"Michigan",66,"Location 5","Center","Skip","Right","Goal","Contested",3,3,17,-1,3.5,-0.971574348,3.548108803,3.640054945,-0.278299659,"Goal"
"336",336,"00:56:12:29","00:56:22:29","Shot",336,10,"Hawaii",32,"Location 1","Perimeter","Skip","Right","Goal","Field Blocker",2,4,NA,0,5.5,0.383442119,5.14629883,5.5,0,"Goal"
"337",337,"00:56:22:49","00:56:32:49","Shot",337,11,"Pacific",31,"Location 2","Direct","Normal","Right","Miss","Field Blocker",1,4,5,1,5.5,1.198227884,5.791066924,5.590169944,0.1798535,"Not Goal"
"338",338,"00:56:32:69","00:56:42:69","Shot",338,11,"Pacific",13,"Location 1","6 on 5","Normal","Right","Miss","Field Blocker",1,3,7,2,2.5,2.06073558,2.500453869,3.201562119,0.674740942,"Not Goal"
"339",339,"00:56:42:89","00:56:52:89","Shot",339,10,"Hawaii",32,"Location 4","Perimeter","Normal","Right","Goal","Contested",3,4,NA,0,5.5,-0.29644519,5.090116746,5.5,0,"Goal"
"340",340,"00:56:53:09","00:57:03:09","Shot",340,10,"Hawaii",19,"Location 4","Perimeter","Lob","Right","Miss","Field Blocker",1,4,NA,2,4.5,1.922937441,4.493974693,4.924428901,0.41822433,"Not Goal"
"341",341,"00:57:03:29","00:57:13:29","Shot",341,11,"Pacific",33,"Location 2","Perimeter","Normal","Left","New Clock","Field Blocker",2,4,8,-1,5.5,-0.563909726,5.916085857,5.590169944,-0.1798535,"Not Goal"
"342",342,"00:57:13:50","00:57:23:50","Shot",342,10,"Hawaii",41,"Location 2","Perimeter","Lob","Right","Goal","Field Blocker",3,4,NA,-2,5.5,-1.957754055,5.66854448,5.852349955,-0.348771004,"Goal"
"343",343,"00:57:23:70","00:57:33:70","Shot",343,10,"Hawaii",42,"Location 2","Perimeter","Lob","Right","Save","Field Blocker",2,4,NA,-3,5.5,-3.143419829,5.730801971,6.264982043,-0.499346722,"Not Goal"
"344",344,"00:57:33:90","00:57:43:90","Shot",344,11,"Pacific",54,"Location 4","6 on 5","Normal","Left","Goal","Blocker at Distance",4,2,8,-2,3.5,-1.837940655,3.48829918,4.031128874,-0.519146114,"Goal"
"345",345,"00:57:44:10","00:57:54:10","Shot",345,11,"Pacific",64,"Location 4","Drive","Normal","Right","Save","Pressured",3,3,10,1,3.5,1.348671762,3.277341682,3.640054945,0.278299659,"Not Goal"
"346",346,"00:57:54:30","00:58:04:30","Shot",346,11,"Pacific",63,"Location 5","Second Wave","Normal","Right","Miss","Pressured",1,2,3,-1,2.5,-0.594749439,2.586613866,2.692582404,-0.380506377,"Not Goal"
"347",347,"00:58:04:50","00:58:14:50","Shot",347,11,"Pacific",57,"Location 4","Perimeter","Normal","Left","Save","Contested",2,4,8,-2,4.5,-2.430993163,4.594700565,4.924428901,-0.41822433,"Not Goal"
"348",348,"00:58:14:70","00:58:24:70","Shot",348,11,"Pacific",23,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",4,4,5,2,5.5,1.541701335,5.40756961,5.852349955,0.348771004,"Goal"
"349",349,"00:58:24:90","00:58:34:90","Shot",349,10,"Hawaii",13,"Location 2","Transition","Normal","Right","Miss","Field Blocker",1,3,NA,2,2.5,1.5177926,2.933620983,3.201562119,0.674740942,"Not Goal"
"350",350,"00:58:35:10","00:58:45:10","Shot",350,10,"Hawaii",13,"Location 2","Second Wave","Normal","Right","Goal","Pressured",4,2,NA,2,2.5,2.368781611,2.54811085,3.201562119,0.674740942,"Goal"
"351",351,"00:58:45:30","00:58:55:30","Shot",351,11,"Pacific",66,"Location 6","6 on 5","Normal","Right","Save","Pressured",1,2,7,-1,3.5,-1.153786691,3.078072746,3.640054945,-0.278299659,"Not Goal"
"352",352,"00:58:55:50","00:59:05:50","Shot",352,10,"Hawaii",67,"Location 2","5 on 4","Normal","Right","Goal","Field Blocker",3,3,NA,1,4.5,0.537511332,4.870745013,4.609772229,0.218668946,"Goal"
"353",353,"00:59:05:70","00:59:15:70","Shot",353,10,"Hawaii",12,"Location 4","Perimeter","Lob","Right","Goal","Field Blocker",3,3,NA,3,2.5,2.606303267,2.821742555,3.905124838,0.876058051,"Goal"
"354",354,"00:59:15:90","00:59:25:90","Shot",354,11,"Pacific",19,"Location 2","6 on 5","Normal","Right","Goal","Blocker at Distance",4,3,10,2,4.5,1.531413142,4.134815222,4.924428901,0.41822433,"Goal"
"355",355,"00:59:26:10","00:59:36:10","Shot",355,10,"Hawaii",203,"Location 5","Perimeter","Lob","Right","Goal","Contested",5,5,NA,2,1,2.393629053,0.727104642,2.236067977,1.107148718,"Goal"
"356",356,"00:59:36:31","00:59:46:31","Shot",356,11,"Pacific",13,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",4,2,15,2,2.5,2.269904751,2.438443288,3.201562119,0.674740942,"Goal"
"357",357,"00:59:46:51","00:59:56:51","Shot",357,11,"Pacific",63,"Location 5","Center","Normal","Right","Miss","Contested",1,2,2,-1,2.5,-0.753108071,2.313900179,2.692582404,-0.380506377,"Not Goal"
"358",358,"00:59:56:71","01:00:06:71","Shot",358,10,"Hawaii",33,"Location 1","Second Wave","Skip","Right","Save","Pressured",2,3,NA,-1,5.5,-0.992689838,5.988790304,5.590169944,-0.1798535,"Not Goal"
"359",359,"01:00:06:91","01:00:16:91","Shot",359,11,"Pacific",32,"Location 2","Perimeter","Normal","Right","Save","Contested",2,4,5,0,5.5,-0.010921625,5.406648547,5.5,0,"Not Goal"
"360",360,"01:00:17:11","01:00:27:11","Shot",360,10,"Hawaii",13,"Location 4","Individual","Lob","Right","Goal","Pressured",3,2,NA,2,2.5,1.747062555,2.502709203,3.201562119,0.674740942,"Goal"
"361",361,"01:00:27:31","01:00:37:31","Shot",361,11,"Pacific",58,"Location 1","Perimeter","Lob","Right","Save","Contested",1,4,5,-3,4.5,-3.488973294,4.105119141,5.408326913,-0.588002604,"Not Goal"
"362",362,"01:00:37:51","01:00:43:19","Shot",362,10,"Hawaii",16,"Location 4","First Wave","Lob","Right","Save","Pressured",3,3,NA,2,3.5,2.4036536,3.805391384,4.031128874,0.519146114,"Not Goal"
"363",363,"01:00:43:19","01:00:48:88","Shot",363,10,"Hawaii",7,"Location 4","Rebound","Normal","Right","Goal","Pressured",5,2,NA,-2,1,-2.090995984,0.993101707,2.236067977,-1.107148718,"Goal"
"364",364,"01:00:49:08","01:00:59:08","Shot",364,11,"Pacific",34,"Location 2","Perimeter","Normal","Right","Miss","Contested",1,4,15,1,6.5,1.204255392,6.712051832,6.576473219,0.152649328,"Not Goal"
"365",365,"01:00:59:28","01:01:09:28","Shot",365,10,"Hawaii",65,"Location 1","Quick","Skip","Right","Goal","Pressured",4,2,NA,0,3.5,0.485461075,3.553737604,3.5,0,"Goal"
"366",366,"01:01:09:48","01:01:19:48","Shot",366,10,"Hawaii",23,"Location 5","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,NA,2,5.5,2.444062331,5.315356583,5.852349955,0.348771004,"Not Goal"
"367",367,"01:01:19:68","01:01:29:68","Shot",367,10,"Hawaii",13,"Location 2","6 on 5","Normal","Right","Miss","Pressured",1,2,NA,2,2.5,2.182447414,2.36219736,3.201562119,0.674740942,"Not Goal"
"368",368,"01:01:29:88","01:01:39:88","Shot",368,11,"Pacific",55,"Location 1","Perimeter","Normal","Left","Save","Contested",2,4,8,-3,3.5,-3.287883221,3.378734557,4.609772229,-0.708626272,"Not Goal"
"369",369,"01:01:40:09","01:01:50:09","Shot",369,11,"Pacific",33,"Location 1","6 on 5","Normal","Left","Miss","Field Blocker",1,3,8,-1,5.5,-1.155195295,5.996203224,5.590169944,-0.1798535,"Not Goal"
"370",370,"01:01:50:29","01:02:00:29","Shot",370,10,"Hawaii",63,"Location 4","Quick","Lob","Right","Goal","Pressured",4,1,NA,-1,2.5,-0.5391427,2.339322797,2.692582404,-0.380506377,"Goal"
"371",371,"01:02:00:49","01:02:10:49","Shot",371,11,"Pacific",36,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,5,-1,6.5,-1.211536075,6.416956381,6.576473219,-0.152649328,"Not Goal"
"372",372,"01:02:10:69","01:02:20:69","Shot",372,11,"Pacific",54,"Location 2","Post up","Normal","Left","Save","Contested",3,3,8,-2,3.5,-1.518377454,3.987066929,4.031128874,-0.519146114,"Not Goal"
"373",373,"01:02:20:89","01:02:30:89","Shot",373,11,"Pacific",57,"Location 4","Center","Normal","Right","Miss","Contested",1,4,15,-2,4.5,-2.025804688,4.1614189,4.924428901,-0.41822433,"Not Goal"
"374",374,"01:02:31:09","01:02:41:09","Shot",374,10,"Hawaii",19,"Location 5","Transition","Lob","Right","Save","Pressured",2,4,NA,2,4.5,1.524696081,4.206882525,4.924428901,0.41822433,"Not Goal"
"375",375,"01:02:41:29","01:02:51:29","Shot",375,11,"Pacific",7,"Location 4","Perimeter","Normal","Left","Save","Field Blocker",3,2,6,-2,1,-2.489485083,1.097521282,2.236067977,-1.107148718,"Not Goal"
"376",376,"01:02:51:49","01:03:01:49","Shot",376,10,"Hawaii",32,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",3,3,NA,0,5.5,-0.142236467,5.124288908,5.5,0,"Goal"
"377",377,"01:03:01:69","01:03:11:69","Shot",377,10,"Hawaii",15,"Location 3","6 on 5","Normal","Right","Goal","Field Blocker",3,3,NA,3,3.5,2.582670217,3.258824203,4.609772229,0.708626272,"Goal"
"378",378,"01:03:11:89","01:03:21:89","Shot",378,10,"Pacific",15,"Location 4","Perimeter","Normal","Right","Goal","Field Blocker",2,3,NA,3,3.5,3.206662413,3.103147883,4.609772229,0.708626272,"Goal"
"379",379,"01:03:22:10","01:03:32:10","Shot",379,11,"Pacific",68,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",3,3,10,0,4.5,0.079700424,4.963818533,4.5,0,"Goal"
"380",380,"01:03:32:30","01:03:42:30","Shot",380,10,"Hawaii",32,"Location 6","Center","Lob","Right","Goal","Pressured",4,4,NA,0,5.5,0.052733621,5.805750587,5.5,0,"Goal"
"381",381,"01:03:42:50","01:03:52:50","Shot",381,11,"Pacific",69,"Location 4","6 on 5","Normal","Right","New Clock","Field Blocker",3,3,10,-1,4.5,-1.339031141,4.027669057,4.609772229,-0.218668946,"Not Goal"
"382",382,"01:03:52:70","01:04:02:70","Shot",382,11,"Pacific",13,"Location 2","6 on 5","Normal","Right","Miss","Field Blocker",1,3,7,2,2.5,1.825009505,2.317137474,3.201562119,0.674740942,"Not Goal"
"383",383,"01:04:02:90","01:04:12:90","Shot",383,11,"Pacific",52,"Location 4","Perimeter","Normal","Left","Miss","Pressured",1,3,8,-3,2.5,-2.689046833,2.238825269,3.905124838,-0.876058051,"Not Goal"
"384",384,"01:04:13:10","01:04:23:10","Shot",384,11,"Pacific",32,"Location 1","Perimeter","Normal","Right","Miss","Field Blocker",1,4,5,0,5.5,0.162034793,5.979995571,5.5,0,"Not Goal"
"385",385,"01:04:23:30","01:04:33:30","Shot",385,10,"Marist",67,"Location 4","Transition","Normal","Right","Save","Pressured",3,3,NA,1,4.5,1.188917268,4.394275659,4.609772229,0.218668946,"Not Goal"
"386",386,"01:04:33:50","01:04:43:50","Shot",386,11,"Pacific",57,"Location 4","6 on 5","Normal","Right","Goal","Field Blocker",3,3,10,-2,4.5,-1.98807927,4.040518319,4.924428901,-0.41822433,"Goal"
"387",387,"01:04:43:70","01:04:53:70","Shot",387,11,"Pacific",33,"Location 2","Perimeter","Normal","Right","Goal","Blocker at Distance",3,4,5,-1,5.5,-0.918733065,5.082013497,5.590169944,-0.1798535,"Goal"
"388",388,"01:04:53:90","01:05:03:90","Shot",388,11,"Pacific",51,"Location 4","Transition","Normal","Right","Save","Pressured",4,2,10,-2,2.5,-2.102633551,2.369845846,3.201562119,-0.674740942,"Not Goal"
"389",389,"01:05:04:11","01:05:14:11","Shot",389,11,"Pacific",19,"Location 4","Transition","Normal","Right","Miss","Field Blocker",1,3,5,2,4.5,1.996332156,4.764761362,4.924428901,0.41822433,"Not Goal"
"390",390,"01:05:14:31","01:05:24:31","Shot",390,11,"Pacific",13,"Location 2","First Wave","Normal","Right","Goal","Pressured",4,2,15,2,2.5,2.23258877,2.899601633,3.201562119,0.674740942,"Goal"
"391",391,"01:05:24:51","01:05:34:51","Shot",391,10,"Marist",23,"Location 6","Perimeter","Normal","Right","Goal","Pressured",5,2,NA,2,5.5,2.054346736,5.985246183,5.852349955,0.348771004,"Goal"
"392",392,"01:05:34:71","01:05:44:71","Shot",392,11,"Pacific",68,"Location 1","Center","Backhand","Right","Save","Contested",2,3,2,0,4.5,0.39900776,4.002423476,4.5,0,"Not Goal"
"393",393,"01:05:44:91","01:05:54:91","Shot",393,10,"Marist",69,"Off Target","Transition","Normal","Right","Field Block","Contested",1,4,NA,-1,4.5,-1.405580073,4.427184721,4.609772229,-0.218668946,"Not Goal"
"394",394,"01:05:55:11","01:06:05:11","Shot",394,11,"Pacific",16,"Location 4","First Wave","Normal","Right","Save","Field Blocker",2,3,7,2,3.5,2.0961237,3.547215465,4.031128874,0.519146114,"Not Goal"
"395",395,"01:06:05:31","01:06:15:31","Shot",395,11,"Pacific",41,"Location 2","Second Wave","Normal","Right","Save","Blocker at Distance",2,4,18,-2,5.5,-2.041030857,5.29672448,5.852349955,-0.348771004,"Not Goal"
"396",396,"01:06:15:51","01:06:25:51","Shot",396,11,"Pacific",41,"Location 2","Direct","Normal","Right","Save","Field Blocker",2,4,5,-2,5.5,-1.900909863,5.712501339,5.852349955,-0.348771004,"Not Goal"
"397",397,"01:06:25:71","01:06:35:71","Shot",397,10,"Marist",13,"Location 3","6 on 5","Normal","Right","Save","Field Blocker",3,3,NA,2,2.5,1.519728687,2.477287726,3.201562119,0.674740942,"Not Goal"
"398",398,"01:06:35:91","01:06:45:91","Shot",398,11,"Pacific",36,"Location 2","Perimeter","Normal","Right","New Clock","Field Blocker",2,4,5,-1,6.5,-1.311107747,6.670461474,6.576473219,-0.152649328,"Not Goal"
"399",399,"01:06:46:12","01:06:56:12","Shot",399,10,"Marist",31,"Location 2","6 on 5","Normal","Right","Miss","Field Blocker",1,4,NA,1,5.5,0.586149483,5.064516933,5.590169944,0.1798535,"Not Goal"
"400",400,"01:06:56:32","01:07:06:32","Shot",400,11,"Pacific",44,"Location 5","Perimeter","Skip","Right","Save","Field Blocker",2,4,10,-2,6.5,-2.34683123,6.045500701,6.800735254,-0.298498932,"Not Goal"
"401",401,"01:07:06:52","01:07:16:52","Shot",401,10,"Marist",68,"Location 4","Center","Normal","Right","Save","Pressured",3,3,NA,0,4.5,-0.374515364,4.541244878,4.5,0,"Not Goal"
"402",402,"01:07:16:72","01:07:26:72","Shot",402,11,"Pacific",31,"Location 4","Perimeter","Normal","Right","Miss","Field Blocker",1,4,15,1,5.5,0.632249088,5.105933062,5.590169944,0.1798535,"Not Goal"
"403",403,"01:07:26:92","01:07:36:92","Shot",403,10,"Marist",57,"Location 6","Individual","Normal","Right","Goal","Pressured",4,2,NA,-2,4.5,-2.124038304,4.332801802,4.924428901,-0.41822433,"Goal"
"404",404,"01:07:37:12","01:07:47:12","Shot",404,11,"Pacific",2,"Location 3","6 on 5","Normal","Right","Save","Field Blocker",3,2,18,3,1,2.582355292,1.383481257,3.16227766,1.249045772,"Not Goal"
"405",405,"01:07:47:32","01:07:57:32","Shot",405,11,"Pacific",57,"Location 4","Double Post","Normal","Right","Miss","Field Blocker",1,4,5,-2,4.5,-1.841772315,4.902203017,4.924428901,-0.41822433,"Not Goal"
"406",406,"01:07:57:52","01:08:07:52","Shot",406,11,"Pacific",35,"Location 2","Perimeter","Normal","Right","Goal","Contested",2,4,10,0,6.5,-0.442091086,6.558973681,6.5,0,"Goal"
"407",407,"01:08:07:72","01:08:17:72","Shot",407,11,"Pacific",54,"Location 5","6 on 5","Normal","Right","Goal","Field Blocker",3,3,5,-2,3.5,-1.521097088,3.496866728,4.031128874,-0.519146114,"Goal"
"408",408,"01:08:17:92","01:08:27:92","Shot",408,10,"Marist",32,"Location 4","Penalty","Normal","Right","Miss","Other",1,1,NA,0,5.5,0.087800315,5.531527785,5.5,0,"Not Goal"
"409",409,"01:08:28:12","01:08:38:12","Shot",409,11,"Pacific",54,"Location 2","Perimeter","Normal","Right","New Clock","Field Blocker",3,3,16,-2,3.5,-1.885051871,3.459208628,4.031128874,-0.519146114,"Not Goal"
"410",410,"01:08:38:32","01:08:48:32","Shot",410,11,"Pacific",41,"Location 2","Perimeter","Normal","Right","Miss","Field Blocker",1,4,16,-2,5.5,-2.246633206,5.377354696,5.852349955,-0.348771004,"Not Goal"
"411",411,"01:08:48:52","01:08:58:52","Shot",411,11,"Pacific",16,"Location 2","6 on 5","Normal","Right","Goal","Field Blocker",3,3,18,2,3.5,1.746815108,3.475087453,4.031128874,0.519146114,"Goal"
