"","X","start.time","end.time","category","Nth.instance","X..descriptors","Offensive.Team","Position","Location","Tactic","Type","Hand","Result","Defense","Save.Diff","Shot.Diff","Athlete","x","y","xj","yj","distance","angle","Goal"
"1416",1416,"03:58:30:63","03:58:40:63","Shot",1416,10,"Marist",32,"Location 2","Perimeter","Normal","Right","Save","Field Blocker",2,4,NA,0,5.5,-0.252637497,5.651279356,5.5,0,"Not Goal"
"1417",1417,"03:58:40:83","03:58:50:83","Shot",1417,11,"Pacific",12,"Location 3","Individual","Lob","Right","Save","Contested",3,3,15,3,2.5,2.589837847,2.513067545,3.905124838,0.876058051,"Not Goal"
"1418",1418,"03:58:51:03","03:59:01:03","Shot",1418,10,"Marist",41,"Location 4","Perimeter","Normal","Right","Save","Field Blocker",2,4,NA,-2,5.5,-2.371232129,5.879191654,5.852349955,-0.348771004,"Not Goal"
"1419",1419,"03:59:01:23","03:59:11:23","Shot",1419,11,"Pacific",57,"Location 5","6 on 5","Skip","Right","Field Block","Field Blocker",1,3,11,-2,4.5,-2.147676538,4.40154794,4.924428901,-0.41822433,"Not Goal"
"1420",1420,"03:59:11:43","03:59:21:43","Shot",1420,11,"Pacific",34,"Location 2","Perimeter","Normal","Right","Goal","Blocker at Distance",2,4,15,1,6.5,1.278564866,6.07423199,6.576473219,0.152649328,"Goal"
"1421",1421,"03:59:21:63","03:59:31:63","Shot",1421,10,"Marist",63,"Location 4","Drive","Normal","Right","Goal","Pressured",4,2,NA,-1,2.5,-0.787810932,2.507259777,2.692582404,-0.380506377,"Goal"
"1422",1422,"03:59:31:83","03:59:41:83","Shot",1422,11,"Pacific",13,"Location 4","Quick","Normal","Right","Save","Uncontested",5,1,9,2,2.5,2.40778037,2.5732445,3.201562119,0.674740942,"Not Goal"
"1423",1423,"03:59:42:03","03:59:52:03","Shot",1423,11,"Pacific",32,"Location 2","6 on 5","Normal","Right","Field Block","Blocker at Distance",1,3,11,0,5.5,-0.221154614,5.934294393,5.5,0,"Not Goal"
"1424",1424,"03:59:52:23","04:00:02:23","Shot",1424,10,"Marist",35,"Location 5","Perimeter","Normal","Right","Field Block","Field Blocker",1,4,NA,0,6.5,-0.295239885,6.096942109,6.5,0,"Not Goal"
"1425",1425,"04:00:02:43","04:00:12:43","Shot",1425,11,"Pacific",63,"Location 4","Transition","Normal","Right","Goal","Pressured",5,1,11,-1,2.5,-0.940388254,2.778513871,2.692582404,-0.380506377,"Goal"
"1426",1426,"04:00:12:64","04:00:22:64","Shot",1426,10,"Marist",16,"Location 4","Perimeter","Lob","Right","Goal","Field Blocker",4,2,NA,2,3.5,2.140183261,3.578810705,4.031128874,0.519146114,"Goal"
"1427",1427,"04:00:22:84","04:00:32:84","Shot",1427,11,"Pacific",58,"Location 3","Perimeter","Skip","Left","New Clock","Pressured",1,4,12,-3,4.5,-3.30267333,4.499086752,5.408326913,-0.588002604,"Not Goal"
"1428",1428,"04:00:33:04","04:00:43:04","Shot",1428,11,"Pacific",54,"Location 1","Post up","Backhand","Right","Save","Contested",3,3,15,-2,3.5,-2.166178794,3.977123711,4.031128874,-0.519146114,"Not Goal"
"1429",1429,"04:00:43:24","04:00:53:24","Shot",1429,10,"Marist",51,"Location 5","Transition","Skip","Right","Goal","Pressured",4,2,NA,-2,2.5,-2.109434993,2.363373297,3.201562119,-0.674740942,"Goal"
"1430",1430,"04:00:53:44","04:01:03:44","Shot",1430,11,"Pacific",44,"Location 4","Transition","Normal","Right","Miss","Field Blocker",1,4,15,-2,6.5,-1.790378123,6.307952952,6.800735254,-0.298498932,"Not Goal"
"1431",1431,"04:01:03:64","04:01:13:64","Shot",1431,10,"Marist",61,"Location 5","Center","Lob","Right","Miss","Contested",1,3,NA,1,2.5,1.291792014,2.426400215,2.692582404,0.380506377,"Not Goal"
"1432",1432,"04:01:13:84","04:01:23:84","Shot",1432,11,"Pacific",62,"Location 2","First Wave","Normal","Right","Miss","Pressured",1,2,20,0,2.5,0.095787273,2.518773911,2.5,0,"Not Goal"
"1433",1433,"04:01:24:04","04:01:34:04","Shot",1433,11,"Pacific",66,"Location 3","6 on 5","Normal","Right","New Clock","Contested",3,3,16,-1,3.5,-1.08676846,3.549435105,3.640054945,-0.278299659,"Not Goal"
"1434",1434,"04:01:34:24","04:01:44:24","Shot",1434,11,"Pacific",64,"Location 6","Post up","Lob","Right","Goal","Contested",5,3,15,1,3.5,0.511558637,3.629962261,3.640054945,0.278299659,"Goal"
"1435",1435,"04:01:44:44","04:01:54:44","Shot",1435,10,"Marist",61,"Location 5","Post up","Lob","Right","Goal","Field Blocker",4,2,NA,1,2.5,0.71693945,2.889017704,2.692582404,0.380506377,"Goal"
"1436",1436,"04:01:54:64","04:02:04:64","Shot",1436,10,"Marist",41,"Location 4","Perimeter","Skip","Left","New Clock","Pressured",3,4,NA,-2,5.5,-2.21344392,5.80166512,5.852349955,-0.348771004,"Not Goal"
"1437",1437,"04:02:04:84","04:02:14:84","Shot",1437,10,"Marist",51,"Location 5","Post up","Backhand","Right","Miss","Contested",1,4,NA,-2,2.5,-2.249436162,2.682615594,3.201562119,-0.674740942,"Not Goal"
"1438",1438,"04:02:15:04","04:02:25:04","Shot",1438,11,"Pacific",12,"Location 2","Transition","Skip","Right","Goal","Pressured",3,3,10,3,2.5,3.428754835,2.806242075,3.905124838,0.876058051,"Goal"
"1439",1439,"04:02:25:24","04:02:35:24","Shot",1439,10,"Marist",67,"Location 3","6 on 5","Normal","Right","Goal","Blocker at Distance",3,2,NA,1,4.5,1.344039313,4.019315653,4.609772229,0.218668946,"Goal"
"1440",1440,"04:02:35:44","04:02:45:44","Shot",1440,10,"Marist",23,"Location 4","Perimeter","Normal","Right","Field Block","Pressured",1,4,NA,2,5.5,1.968441488,5.995821092,5.852349955,0.348771004,"Not Goal"
"1441",1441,"04:02:45:65","04:02:55:65","Shot",1441,10,"Pacific",38,"Location 4","Perimeter","Lob","Right","Goal","Pressured",2,4,15,0,7.5,-0.069954464,7.65960105,7.5,0,"Goal"
"1442",1442,"04:02:55:85","04:03:05:85","Shot",1442,10,"Pacific",23,"Location 1","Perimeter","Normal","Right","New Clock","Field Blocker",2,4,NA,2,5.5,1.759942308,5.461768451,5.852349955,0.348771004,"Not Goal"
"1443",1443,"04:03:06:05","04:03:16:05","Shot",1443,11,"Pacific",57,"Location 4","Perimeter","Skip","Left","Miss","Field Blocker",1,4,12,-2,4.5,-2.115405596,4.035844814,4.924428901,-0.41822433,"Not Goal"
"1444",1444,"04:03:16:25","04:03:26:25","Shot",1444,11,"Pacific",23,"Location 2","Direct","Normal","Right","Miss","Field Blocker",1,4,10,2,5.5,1.758806011,5.718399369,5.852349955,0.348771004,"Not Goal"
"1445",1445,"04:03:26:45","04:03:36:45","Shot",1445,11,"Pacific",19,"Location 4","Quick","Lob","Right","Goal","Pressured",4,2,15,2,4.5,2.229328982,4.933817565,4.924428901,0.41822433,"Goal"
"1446",1446,"04:03:36:65","04:03:46:65","Shot",1446,10,"Marist",19,"Location 4","6 on 5","Normal","Right","Save","Contested",3,3,NA,2,4.5,1.894381146,4.975408116,4.924428901,0.41822433,"Not Goal"
"1447",1447,"04:03:46:85","04:03:56:85","Shot",1447,11,"Pacific",36,"Location 2","Perimeter","Normal","Right","New Clock","Field Blocker",2,4,15,-1,6.5,-0.569986037,6.858427664,6.576473219,-0.152649328,"Not Goal"
"1448",1448,"04:03:57:05","04:04:07:05","Shot",1448,10,"Marist",36,"Location 2","Perimeter","Normal","Left","Miss","Contested",1,4,NA,-1,6.5,-0.599975449,6.873425668,6.576473219,-0.152649328,"Not Goal"
"1449",1449,"04:04:07:25","04:04:17:25","Shot",1449,10,"UC Davis",63,"Location 6","6 on 5","Normal","Right","Save","Contested",1,2,NA,-1,2.5,-1.28655678,2.829052508,2.692582404,-0.380506377,"Not Goal"
"1450",1450,"04:04:17:45","04:04:27:45","Shot",1450,10,"SDSU",23,"Location 2","Direct","Normal","Right","Goal","Blocker at Distance",4,3,NA,2,5.5,1.77021042,5.947520287,5.852349955,0.348771004,"Goal"
"1451",1451,"04:04:27:65","04:04:37:65","Shot",1451,10,"SDSU",64,"Location 1","First Wave","Skip","Right","Save","Pressured",4,2,NA,1,3.5,0.654172115,3.859746033,3.640054945,0.278299659,"Not Goal"
"1452",1452,"04:04:37:85","04:04:47:85","Shot",1452,10,"UC Davis",62,"Location 2","Center","Normal","Right","Miss","Field Blocker",1,2,NA,0,2.5,-0.097076167,2.755414512,2.5,0,"Not Goal"
"1453",1453,"04:04:48:05","04:04:58:05","Shot",1453,10,"SDSU",62,"Location 4","Transition","Normal","Right","Goal","Pressured",5,2,NA,0,2.5,-0.308957,2.47186749,2.5,0,"Goal"
"1454",1454,"04:04:58:25","04:05:08:25","Shot",1454,10,"SDSU",3,"Location 2","Transition","Normal","Left","Goal","Pressured",4,2,NA,2,1,1.550228041,0.574329637,2.236067977,1.107148718,"Goal"
"1455",1455,"04:05:08:45","04:05:18:45","Shot",1455,10,"UC Davis",51,"Location 5","Perimeter","Skip","Right","Save","Field Blocker",2,3,NA,-2,2.5,-2.09357985,2.781373543,3.201562119,-0.674740942,"Not Goal"
